# games=161102 signatures=430838 systems=112 active_sources=248
source_id	source_items	sigs_owned	games_covered	coverage_pct
libretro-nointro-arduboy-inc-arduboy	462	0	0	0
libretro-dat-sega-saturn	4	0	0	0
libretro-dat-nintendo-wii-u	2806	0	4	0.1
libretro-dat-nintendo-wii	7916	0	942	11.9
libretro-dat-sony-playstation-3	7374	0	901	12.2
libretro-nointro-sega-32x	207	360	89	43
libretro-dat-nintendo-gamecube	1462	0	719	49.2
libretro-redump-microsoft-xbox-360	3636	231	1849	50.9
libretro-nointro-sega-mega-drive-genesis	3359	297	1713	51
libretro-dat-microsoft-xbox-360	3560	10680	1838	51.6
libretro-dat-sega-mega-drive-genesis	3267	9798	1696	51.9
libretro-redump-microsoft-xbox	2604	21	1368	52.5
libretro-dat-microsoft-xbox	2597	7791	1368	52.7
libretro-dat-nintendo-pokemon-mini	42	126	24	57.1
libretro-nointro-nintendo-pokemon-mini	42	0	24	57.1
libretro-dat-nintendo-new-nintendo-3ds	11	33	8	72.7
libretro-nointro-nintendo-new-nintendo-3ds	11	0	8	72.7
libretro-dat-vtech-v-smile	432	1296	319	73.8
libretro-nointro-vtech-v-smile	433	6	320	73.9
libretro-dat-nintendo-family-computer-disk-system	396	1188	311	78.5
libretro-nointro-nintendo-family-computer-disk-system	396	3	311	78.5
libretro-dat-nintendo-nintendo-ds-download-play	597	1791	485	81.2
libretro-nointro-nintendo-nintendo-ds-download-play	597	0	485	81.2
libretro-dat-dos	19201	16599	15925	82.9
libretro-dat-nintendo-nintendo-64dd	13	39	11	84.6
libretro-nointro-nintendo-nintendo-64dd	13	0	11	84.6
libretro-dat-sega-mega-cd-sega-cd	460	1380	391	85
libretro-redump-sega-mega-cd-sega-cd	462	6	393	85.1
libretro-nointro-nintendo-nintendo-64	1240	57	1066	86
libretro-dat-nintendo-nintendo-64	1224	3672	1055	86.2
libretro-redump-sega-saturn	2102	6306	1827	86.9
libretro-nointro-nintendo-game-boy-advance	3669	96	3214	87.6
libretro-dat-nintendo-game-boy-advance	3639	10917	3186	87.6
libretro-nointro-nintendo-nintendo-3ds	2056	15	1805	87.8
libretro-dat-nintendo-nintendo-3ds	2051	6153	1804	88
libretro-dat-nec-pc-fx	79	237	70	88.6
libretro-redump-nec-pc-fx	79	0	70	88.6
libretro-redump-atari-jaguar-cd	27	24	24	88.9
libretro-dat-sony-playstation-vita-psn	50	150	45	90
libretro-nointro-sony-playstation-vita-psn	50	0	45	90
libretro-nointro-nintendo-nintendo-ds	7645	51	6917	90.5
libretro-dat-nintendo-nintendo-ds	7635	22905	6912	90.5
libretro-dat-snk-neo-geo-pocket-color	127	381	115	90.6
libretro-nointro-snk-neo-geo-pocket-color	127	0	115	90.6
libretro-redump-philips-cd-i	2385	24	2165	90.8
libretro-dat-philips-cd-i	2377	7131	2158	90.8
libretro-redump-sega-dreamcast	1486	27	1358	91.4
libretro-dat-sega-dreamcast	1477	4431	1351	91.5
libretro-dat-nintendo-nintendo-3ds-digital	947	2841	867	91.6
libretro-nointro-nintendo-nintendo-3ds-digital	947	0	867	91.6
libretro-dat-sega-pico	373	1119	349	93.6
libretro-nointro-sega-pico	373	0	349	93.6
libretro-dat-nintendo-satellaview	527	1581	497	94.3
libretro-nointro-nintendo-satellaview	537	66	507	94.4
libretro-dat-snk-neo-geo-cd	111	333	105	94.6
libretro-redump-snk-neo-geo-cd	111	0	105	94.6
libretro-dat-atari-jaguar-cd	19	57	18	94.7
libretro-redump-the-3do-company-3do	637	3	606	95.1
libretro-dat-the-3do-company-3do	636	1908	605	95.1
libretro-dat-nec-pc-engine-cd-turbografx-cd	498	1494	475	95.4
libretro-redump-nec-pc-engine-cd-turbografx-cd	498	0	475	95.4
libretro-dat-sony-playstation-portable-psn	1994	5979	1922	96.4
libretro-nointro-sony-playstation-portable-psn	1994	0	1922	96.4
libretro-redump-sony-playstation	10233	42	9895	96.7
libretro-dat-sony-playstation	10219	30657	9882	96.7
libretro-dat-nintendo-virtual-boy	65	195	63	96.9
libretro-nointro-nintendo-virtual-boy	65	0	63	96.9
libretro-redump-nintendo-wii	3740	11220	3633	97.1
libretro-dat-nintendo-nintendo-dsi	1068	3204	1037	97.1
libretro-nointro-nintendo-nintendo-dsi	1068	0	1037	97.1
